game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Halliday,,Longview,cf,1,3,0,,2,1,,,,,,,,,,,,,,,,,,,0,0,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,White,,Longview,ss,2,3,0,,0,,,,,,,,,,,,,,,,,,,,3,3,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Hardy,,Longview,1b,3,3,0,,0,,,,,,,,,,,,,,,,,,,,11,1,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Crosby,,Longview,rf,4,4,0,,2,,,,,,,,,,,,,,,,,,,,0,0,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Merrett,,Longview,2b,5,3,1,,0,,,,,,,,,,,,,,,,,,,,1,1,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Hoffman,,Longview,lf,6,4,1,,1,,,,,,,,,,,,,,,,,,,,1,0,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Littrel,,Longview,3b,7,3,1,,1,,,,,,,,,,,,,,,,,,,,0,0,2,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Spear,,Longview,c,8,2,0,,0,,,,,,1,,,,,,,,,,,,,,9,1,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Phillips,,Longview,p,9,4,1,,0,,,,,,,,,,,,,,,1,9,,,,2,5,1,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,TOTALS,,Longview,,,29,4,,6,,,,,,,,,,,,,,,,,,,,27,11,3,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Colla,,Texarkana,lf,1,4,1,,0,,,,,,,,,,,,,,,,,,,,2,0,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Hall,,Texarkana,p,10,2,0,,0,,,,,,,,,,,,,,,1,5,,,,1,2,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Allen,,Texarkana,rf,2,4,0,,0,,,,,,,,,,,,,,,,,,,,0,1,1,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Barker,,Texarkana,cf,3,3,0,,0,,,,,,,,,,,,,,,,,,,,1,0,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Loulihan,,Texarkana,1b,4,3,0,,0,,,,,,,,,,,,,,,,,,,,6,1,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Fall,,Texarkana,3b,5,2,0,,1,,,,,,,,,,,,,,,,,,,,2,0,1,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Hudson,,Texarkana,2b,6,3,0,,0,,,,,,,,,,,,,,,,,,,,3,0,1,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Prudhomme,,Texarkana,ss,7,3,0,,0,,,,,,,,,,,,,,,,,,,,1,4,2,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Jordon,,Texarkana,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,8,2,2,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,Stubbs,,Texarkana,p,9,1,0,,0,,,,,,,,,,,,,,,2,2,,1,,0,1,0,,,
130156b0-00f6-5d70-a73e-a20c6a5f238d,1912-04-23,0,TOTALS,,Texarkana,,,28,1,,1,,,,,,,,,,,,,,,,,,,,24,11,7,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Gowan,,Marshall,cf,1,4,1,,1,,,,,,,,,,,,,,,,,,,,3,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Stribbel,,Marshall,2b,2,2,0,,0,,,,,,,,,,,,,,,,,,,,5,2,2,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Stapleton,,Marshall,3b,3,4,1,,1,,,,,,,,,,,,,,,,,,,,2,2,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Pappe,,Marshall,ss,4,4,0,,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Blanchette,,Marshall,1b,5,4,0,,2,,,,,,,,,,,,,,,,,,,,6,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Nagel,,Marshall,rf,6,4,2,,0,,,,,,,,,,,,,,,,,,,,3,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Ballingall,,Marshall,lf,7,4,1,,0,,,,,,,,,,,,,,,,,,,,1,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Short,,Marshall,c,8,3,0,,1,,,,,,,,,,,,,,,,,,,,3,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Rowland,,Marshall,p,9,3,0,,0,,,,,,,,,,,,,,,,,,,,4,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,TOTALS,,Marshall,,,32,5,,5,,,,,,,,,,,,,,,,,,,,27,6,2,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Solliday,,Paris,2b,1,4,0,,1,,,,,,,,,,,,,,,,,,,,2,0,2,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Adams,,Paris,p,10,1,0,,0,,,,,,,,,,,,,,,,,,,,3,1,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Beltison,,Paris,c,2,1,0,,0,,,,,,,,,,,,,,,,,,,,2,1,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Sherwood,,Paris,ss,3,4,0,,2,,,,,,,,,,,,,,,,,,,,0,0,1,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Lawson,,Paris,rf,4,4,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Wood,,Paris,3b,5,4,2,,1,,,,,,,,,,,,,,,,,,,,4,2,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Mathis,L.,Paris,1b,6,4,0,,0,,,,,,,,,,,,,,,,,,,,9,0,1,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Dowen,,Paris,cf,7,4,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Mathis,E.,Paris,lf,8,4,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,Gains,,Paris,p,9,2,0,,0,,,,,,,,,,,,,,,,,,,,4,4,0,,,
3c742f2b-8bc6-52fd-b10b-57dedb8b0e91,1912-04-23,0,TOTALS,,Paris,,,32,4,,6,,,,,,,,,,,,,,,,,,,,24,8,4,,,
f0671b27-673a-5042-8e41-110166ed717c,1912-04-23,0,Ritter,,Cleburne,c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0671b27-673a-5042-8e41-110166ed717c,1912-04-23,0,Kerr,,Cleburne,p,2,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,
f0671b27-673a-5042-8e41-110166ed717c,1912-04-23,0,TOTALS,,Cleburne,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,0,,,
f0671b27-673a-5042-8e41-110166ed717c,1912-04-23,0,Buster,,Tyler,c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
