key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
196767d8-8a56-5c84-86d3-932dd7f3ee70,1915-05-06,0,Northern,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27c435d7-1784-54af-862d-b69637c913a4,1915-05-06,0,Northern,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
925390b5-a8cd-5051-aaeb-7356c3368282,1915-05-06,0,Northern,,Superior,,,St. Boniface,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11d32251-4d6e-5edb-a35e-645f207e4838,1915-05-06,0,Northern,,Duluth,,,Winnipeg,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cb22685-4ba5-5fc2-8421-54bbdfec613b,1915-05-07,0,Northern,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
332dc22f-4bcc-5877-80a1-1e8d46a39703,1915-05-07,0,Northern,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
698840f2-bb2d-5cc3-8b9f-581929415d3d,1915-05-07,0,Northern,,Superior,,,St. Boniface,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0efd654-a510-5108-9e4d-737cc2dc3fea,1915-05-07,0,Northern,,Duluth,,,Winnipeg,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a2d604c-a5d5-58b9-acc3-98cb10106917,1915-05-08,0,Northern,,Virginia,,,Fargo-Moorhead,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c972fb8-1b12-5842-8d6b-55ec9db88423,1915-05-08,0,Northern,,Fort William-Port Arthur,3,,Grand Forks,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",1,0,0,0,2,0,0,0,0,,,,,,0,1,0,1,0,4,0,0,x,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,Northern,,Superior,3,,St. Boniface,11,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",0,0,0,0,0,0,0,3,0,,,,,,2,0,0,2,0,3,4,0,x,,,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,Northern,,Duluth,6,,Winnipeg,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",1,0,0,2,1,0,0,2,0,,,,,,0,0,0,0,0,0,1,6,x,,,,,
75e5e135-49b5-5a33-9334-0d300151fa45,1915-05-09,0,Northern,,Virginia,,,Fargo-Moorhead,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21406c83-24e4-517d-bfd0-d585174a98ab,1915-05-09,0,Northern,,Fort William-Port Arthur,2,,Grand Forks,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,2,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,,,,,
a8ffafac-10c1-5345-9f70-b22e24ab30e3,1915-05-09,0,Northern,,Superior,,,St. Boniface,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c743d47f-9b83-5053-aa77-11ba57a1f48d,1915-05-10,0,Northern,,Fort William-Port Arthur,8,,Fargo-Moorhead,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,0,0,2,1,0,1,4,0,,,,,,0,0,0,0,0,0,0,1,0,,,,,
81218f3b-b036-5375-bf1a-2cf52395aef6,1915-05-10,0,Northern,,Virginia,2,,Grand Forks,10,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,0,0,0,0,0,2,0,0,,,,,,4,0,0,2,0,4,0,0,x,,,,,
f5bed763-38d3-5470-b841-8b9be8299863,1915-05-10,0,Northern,,Duluth,10,,St. Boniface,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",3,0,0,0,0,6,1,0,0,,,,,,0,0,1,1,0,1,1,0,3,,,,,
0c8e6670-e4ba-5d69-a671-0c2f7439cd30,1915-05-10,0,Northern,,Superior,2,,Winnipeg,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,0,0,1,0,1,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,
