league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Northern League,ATMS0101,Adams,,St. Boniface,1915-05-21,1915-05-25,6,0,6,0,0,0,0,0,0,0,0,0
1915,Northern League,AKNZ0101,Agnew,,Virginia,1915-05-10,1915-05-26,12,0,0,0,0,0,0,0,0,0,12,0
1915,Northern League,ALTM0101,Altman,,Grand Forks,1915-05-08,1915-05-26,18,0,0,0,0,0,18,18,0,0,0,0
1915,Northern League,ANTR0101,Anderson,,Grand Forks,1915-05-08,1915-05-26,18,0,0,0,18,0,0,0,0,0,0,0
1915,Northern League,PKRZ0101,Baker,,Winnipeg,1915-05-26,1915-05-26,1,0,0,1,0,0,0,0,0,0,0,0
1915,Northern League,PRTR0101,Bartroff,,Grand Forks,1915-05-21,1915-05-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,PSZZ0101,Bassey,,Superior,1915-05-14,1915-05-16,2,0,0,0,0,0,2,0,2,0,0,0
1915,Northern League,PLZZ0102,Bell,,Fargo-Moorhead,1915-05-13,1915-05-24,4,4,0,0,0,0,0,0,0,0,0,4
1915,Northern League,PMSZ0101,Bemis,,Winnipeg,1915-05-26,1915-05-26,1,0,0,0,0,0,1,0,1,0,0,0
1915,Northern League,PRKR0103,Berger,,Superior,1915-05-13,1915-05-26,4,0,0,0,0,0,0,0,0,0,3,0
1915,Northern League,PLKZ0101,Block,,Grand Forks,1915-05-10,1915-05-26,15,0,0,0,0,0,15,0,15,0,0,0
1915,Northern League,PRTM0101,Boardman,,St. Boniface,1915-05-15,1915-05-25,5,4,0,0,0,0,1,0,0,1,0,4
1915,Northern League,PKZZ0101,Bock,,Grand Forks,1915-05-21,1915-05-21,1,0,0,0,0,0,1,0,1,0,0,0
1915,Northern League,PLZZ0202,Boley,,Duluth,1915-05-08,1915-05-20,3,3,0,0,0,0,0,0,0,0,0,3
1915,Northern League,PRKR0203,Borger,,Superior,1915-05-11,1915-05-11,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRTF0101,Bortoff,,Grand Forks,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,PRML0105,Brammel,,Duluth,1915-05-18,1915-05-20,2,0,0,0,0,0,2,0,0,2,0,0
1915,Northern League,PRML0205,Brammel,,Winnipeg,1915-05-24,1915-05-24,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRML0305,Brammell,,Winnipeg,1915-05-22,1915-05-24,2,0,0,0,0,0,0,0,0,0,2,0
1915,Northern League,PRNT0102,Brandon,,Superior,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,PRNN0101,Brannon,,Superior,1915-05-16,1915-05-16,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,PRML0405,Bremmell,,Winnipeg,1915-05-25,1915-05-25,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRNR0101,Brenner,,Grand Forks,1915-05-08,1915-05-26,6,6,0,0,0,0,0,0,0,0,0,6
1915,Northern League,PRKZ0102,Brokaw,,Virginia,1915-05-10,1915-05-13,4,0,0,0,0,0,4,0,4,0,0,0
1915,Northern League,PRML0505,Brommell,,Winnipeg,1915-05-21,1915-05-21,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRNT0202,Bryant,,Duluth,1915-05-20,1915-05-20,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,PRKR0303,Burger,,Superior,1915-05-25,1915-05-25,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRKF0101,Burgvold,,Superior,1915-05-16,1915-05-16,1,0,0,0,1,0,0,0,0,0,0,0
1915,Northern League,PRKL0101,Burgwold,,Superior,1915-05-14,1915-05-14,1,0,0,0,1,0,0,0,0,0,0,0
1915,Northern League,PRKZ0202,Burke,,Superior,1915-05-22,1915-05-22,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRMR0101,Burmer,,Superior,1915-05-24,1915-05-24,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,PRNZ0101,Byron,,Duluth,1915-05-13,1915-05-13,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KPRZ0101,Cabreau,,Duluth,1915-05-10,1915-05-10,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KRFR0101,Carver,,St. Boniface,1915-05-22,1915-05-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,XKNZ0101,Chicken,,Superior,1915-05-10,1915-05-24,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,KRSX0101,Christianson,,Grand Forks,1915-05-13,1915-05-13,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KMRZ0101,Clymer,,Fargo-Moorhead,1915-05-12,1915-05-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KTRZ0101,Codreau,,Duluth,1915-05-22,1915-05-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KLNS0101,Collins,,Duluth,1915-05-18,1915-05-20,3,0,0,0,3,0,0,0,0,0,0,0
1915,Northern League,KNLZ0102,Conley,,Superior,1915-05-16,1915-05-16,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KNLZ0202,Connelly,,Superior,1915-05-22,1915-05-26,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,KRMN0101,Corman,,Virginia,1915-05-14,1915-05-14,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,KKZZ0101,Croake,,Duluth,1915-05-18,1915-05-20,3,0,3,0,0,0,0,0,0,0,0,0
1915,Northern League,KNNZ0101,Cronin,,Virginia,1915-05-24,1915-05-25,3,0,0,0,0,0,0,0,0,0,3,0
1915,Northern League,KLFR0101,Culver,,St. Boniface,1915-05-26,1915-05-26,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,KRTS0101,Curtis,,Superior,1915-05-14,1915-05-16,2,0,2,0,0,0,0,0,0,0,0,0
1915,Northern League,TNKZ0101,Dancy,,Fort William-Port Arthur,1915-05-08,1915-05-09,2,0,2,0,0,0,0,0,0,0,0,0
1915,Northern League,TRSZ0101,DeRose,,Fort William-Port Arthur,1915-05-08,1915-05-09,2,0,0,0,0,0,2,0,0,2,0,0
1915,Northern League,TRMN0101,Dorman,,Virginia,1915-05-11,1915-05-20,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,TMNT0101,Dumont,,Fargo-Moorhead,1915-05-12,1915-05-22,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,TSSZ0101,Duzes,,Winnipeg,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,ALSZ0101,Ellis,,Fargo-Moorhead,1915-05-19,1915-05-19,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,F0ZZ0102,Faeth,,Virginia,1915-05-12,1915-05-25,4,4,0,0,0,0,0,0,0,0,0,4
1915,Northern League,FTZZ0101,Fait,,Fargo-Moorhead,1915-05-14,1915-05-22,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,F0ZZ0202,Faith,,Fargo-Moorhead,1915-05-10,1915-05-25,3,3,0,0,0,0,0,0,0,0,0,3
1915,Northern League,FSNR0103,Feisner,,Fort William-Port Arthur,1915-05-10,1915-05-10,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,FLHR0101,Flaherty,,Grand Forks,1915-05-08,1915-05-26,18,0,0,0,0,0,18,0,0,18,0,0
1915,Northern League,FRTZ0102,Ford,,Duluth,1915-05-18,1915-05-20,3,0,0,0,0,0,3,0,3,0,0,0
1915,Northern League,FRTZ0202,Fortier,,Fort William-Port Arthur,1915-05-08,1915-05-09,2,0,0,0,0,0,2,0,2,0,0,0
1915,Northern League,FRTN0101,Fortnen,,Virginia,1915-05-10,1915-05-13,4,0,0,4,0,0,0,0,0,0,0,0
1915,Northern League,FSTR0101,Foster,,Winnipeg,1915-05-12,1915-05-21,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,FKSZ0101,Fox,,Grand Forks,1915-05-08,1915-05-26,18,0,0,18,0,0,0,0,0,0,0,0
1915,Northern League,FRNK0101,Frankenhoff,,Virginia,1915-05-11,1915-05-13,2,0,1,0,0,0,0,0,0,0,0,0
1915,Northern League,FSNR0203,Fuesner,,Fort William-Port Arthur,1915-05-18,1915-05-18,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,FSNR0303,Fusner,,Fort William-Port Arthur,1915-05-08,1915-05-26,16,0,0,0,0,0,0,0,0,0,16,0
1915,Northern League,KRFZ0102,Garvey,,St. Boniface,1915-05-11,1915-05-24,3,3,0,0,0,0,0,0,0,0,0,3
1915,Northern League,KRFZ0202,Gervais,,Winnipeg,1915-05-26,1915-05-26,1,0,1,0,0,0,0,0,0,0,0,0
1915,Northern League,JR0Z0101,Girth,,Superior,1915-05-14,1915-05-16,2,0,0,0,0,2,0,0,0,0,0,0
1915,Northern League,KLSZ0101,Glass,,Superior,1915-05-14,1915-05-16,2,0,0,0,0,0,2,0,0,2,0,0
1915,Northern League,KRXZ0101,Greisch,,Virginia,1915-05-10,1915-05-13,4,0,0,0,0,0,4,4,0,0,0,0
1915,Northern League,KRFN0101,Griffin,,Fort William-Port Arthur,1915-05-12,1915-05-24,3,3,0,0,0,0,0,0,0,0,0,3
1915,Northern League,HKNS0102,Hawkins,,Fort William-Port Arthur,1915-05-09,1915-05-21,3,3,0,0,0,0,0,0,0,0,0,3
